Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1970-06-12,41.0,41.38,40.62,41.12,82400.0,0.0,1.0,3.4758858335971,3.5081013608354,3.4436703063589,3.4860591579882,329600.0
1970-06-15,41.0,41.0,40.62,41.0,73600.0,0.0,1.0,3.4758858335971,3.4758858335971,3.4436703063589,3.4758858335971,294400.0
1970-06-16,41.0,42.38,40.62,41.88,122800.0,0.0,1.0,3.4758858335971,3.5928790640938,3.4436703063589,3.5504902124646,491200.0
1970-06-17,41.88,42.62,41.25,41.62,94000.0,0.0,1.0,3.5504902124646,3.6132257128759,3.4970802594118,3.5284480096174,376000.0
1970-06-18,41.62,42.12,41.0,42.12,113200.0,0.0,1.0,3.5284480096174,3.5708368612466,3.4758858335971,3.5708368612466,452800.0
1970-06-19,42.12,42.38,41.62,41.88,88800.0,0.0,1.0,3.5708368612466,3.5928790640938,3.5284480096174,3.5504902124646,355200.0
1970-06-22,41.75,41.75,41.0,41.38,72000.0,0.0,1.0,3.539469111041,3.539469111041,3.4758858335971,3.5081013608354,288000.0
1970-06-23,41.38,41.5,41.0,41.12,80400.0,0.0,1.0,3.5081013608354,3.5182746852264,3.4758858335971,3.4860591579882,321600.0
1970-06-24,40.88,40.88,40.0,40.38,112000.0,0.0,1.0,3.4657125092061,3.4657125092061,3.3911081303387,3.4233236575769,448000.0
1970-06-25,40.38,40.5,40.0,40.25,75200.0,0.0,1.0,3.4233236575769,3.4334969819679,3.3911081303387,3.4123025561533,300800.0
1970-06-26,40.25,40.38,40.0,40.38,72800.0,0.0,1.0,3.4123025561533,3.4233236575769,3.3911081303387,3.4233236575769,291200.0
1970-06-29,40.25,40.25,40.0,40.25,59600.0,0.0,1.0,3.4123025561533,3.4123025561533,3.3911081303387,3.4123025561533,238400.0
1970-06-30,40.25,40.38,40.0,40.25,78400.0,0.0,1.0,3.4123025561533,3.4233236575769,3.3911081303387,3.4123025561533,313600.0
1970-07-01,40.25,40.38,39.75,40.12,80400.0,0.0,1.0,3.4123025561533,3.4233236575769,3.3699137045241,3.4012814547297,321600.0
1970-07-02,40.12,40.38,39.75,39.88,76800.0,0.0,1.0,3.4012814547297,3.4233236575769,3.3699137045241,3.3809348059477,307200.0
1970-07-06,39.88,39.88,38.62,38.88,226800.0,0.0,1.0,3.3809348059477,3.3809348059477,3.274114899842,3.2961571026892,907200.0
1970-07-07,38.88,39.0,38.25,38.5,136400.0,0.0,1.0,3.2961571026892,3.3063304270802,3.2427471496364,3.263941575451,545600.0
1970-07-08,38.5,38.88,38.0,38.88,146400.0,0.0,1.0,3.263941575451,3.2961571026892,3.2215527238217,3.2961571026892,585600.0
1970-07-09,38.88,39.25,38.62,39.0,132400.0,0.0,1.0,3.2961571026892,3.3275248528948,3.274114899842,3.3063304270802,529600.0
1970-07-10,39.25,39.75,39.25,39.62,139200.0,0.0,1.0,3.3275248528948,3.3699137045241,3.3275248528948,3.3588926031005,556800.0
1970-07-13,39.75,40.0,39.75,40.0,116000.0,0.0,1.0,3.3699137045241,3.3911081303387,3.3699137045241,3.3911081303387,464000.0
1970-07-14,40.0,40.25,39.62,39.75,96800.0,0.0,1.0,3.3911081303387,3.4123025561533,3.3588926031005,3.3699137045241,387200.0
1970-07-15,39.75,40.25,39.62,39.88,91600.0,0.0,1.0,3.3699137045241,3.4123025561533,3.3588926031005,3.3809348059477,366400.0
1970-07-16,40.25,41.12,40.25,41.0,187200.0,0.0,1.0,3.4123025561533,3.4860591579882,3.4123025561533,3.4758858335971,748800.0
1970-07-17,41.12,42.25,41.12,42.25,209600.0,0.0,1.0,3.4860591579882,3.5818579626702,3.4860591579882,3.5818579626702,838400.0
1970-07-20,42.25,42.75,42.12,42.5,202800.0,0.0,1.0,3.5818579626702,3.6242468142995,3.5708368612466,3.6030523884848,811200.0
1970-07-21,42.5,43.0,42.12,42.5,179200.0,0.0,1.0,3.6030523884848,3.6454412401141,3.5708368612466,3.6030523884848,716800.0
1970-07-22,42.5,42.88,42.0,42.38,114800.0,0.0,1.0,3.6030523884848,3.6352679157231,3.5606635368556,3.5928790640938,459200.0
1970-07-23,42.38,44.5,42.25,44.0,252800.0,0.0,1.0,3.5928790640938,3.7726077950018,3.5818579626702,3.7302189433725,1011200.0
1970-07-24,44.0,44.88,43.25,43.5,147600.0,0.0,1.0,3.7302189433725,3.80482332224,3.6666356659287,3.6878300917433,590400.0
1970-07-27,43.5,43.88,43.25,43.5,118800.0,0.0,1.0,3.6878300917433,3.7200456189815,3.6666356659287,3.6878300917433,475200.0
1970-07-28,43.5,43.62,43.0,43.0,123200.0,0.0,1.0,3.6878300917433,3.6980034161343,3.6454412401141,3.6454412401141,492800.0
1970-07-29,43.0,43.62,43.0,43.12,86000.0,0.0,1.0,3.6454412401141,3.6980034161343,3.6454412401141,3.6556145645051,344000.0
1970-07-30,43.25,43.88,43.25,43.75,205600.0,0.0,1.0,3.6666356659287,3.7200456189815,3.6666356659287,3.7090245175579,822400.0
1970-07-31,43.88,44.5,43.88,44.0,126000.0,0.0,1.0,3.7200456189815,3.7726077950018,3.7200456189815,3.7302189433725,504000.0
1970-08-03,44.0,44.0,43.0,43.62,103200.0,0.0,1.0,3.7302189433725,3.7302189433725,3.6454412401141,3.6980034161343,412800.0
1970-08-04,43.25,43.25,42.25,43.25,76000.0,0.0,1.0,3.6666356659287,3.6666356659287,3.5818579626702,3.6666356659287,304000.0
1970-08-05,43.25,43.5,42.62,43.12,74000.0,0.0,1.0,3.6666356659287,3.6878300917433,3.6132257128759,3.6556145645051,296000.0
1970-08-06,43.12,43.38,42.62,43.12,78000.0,0.0,1.0,3.6556145645051,3.6776567673523,3.6132257128759,3.6556145645051,312000.0
1970-08-07,43.12,44.75,43.0,44.5,134400.0,0.0,1.0,3.6556145645051,3.7938022208164,3.6454412401141,3.7726077950018,537600.0
1970-08-10,44.5,44.75,43.12,43.75,157600.0,0.0,1.0,3.7726077950018,3.7938022208164,3.6556145645051,3.7090245175579,630400.0
1970-08-11,43.75,43.75,43.25,43.38,46800.0,0.0,1.0,3.7090245175579,3.7090245175579,3.6666356659287,3.6776567673523,187200.0
1970-08-12,43.38,43.5,43.0,43.5,62000.0,0.0,1.0,3.6776567673523,3.6878300917433,3.6454412401141,3.6878300917433,248000.0
1970-08-13,43.5,43.5,42.88,43.38,64000.0,0.0,1.0,3.6878300917433,3.6878300917433,3.6352679157231,3.6776567673523,256000.0
