Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1962-02-06,54.37,54.5,53.0,54.37,13198.353909465,0.0,1.0,0.52205494707149,0.52330319322046,0.50890035304008,0.52205494707149,801800.0
1962-02-07,54.37,55.37,54.0,54.37,13896.296296296,0.0,1.0,0.52205494707149,0.53165684052508,0.51850224649366,0.52205494707149,844199.99999998
1962-02-08,54.5,55.37,54.5,54.5,10798.353909465,0.0,1.0,0.52330319322046,0.53165684052508,0.52330319322046,0.52330319322046,656000.0
1962-02-09,54.63,55.5,54.63,55.5,11200.0,0.0,1.0,0.52455143936942,0.53290508667404,0.52455143936942,0.53290508667404,680400.0
1962-02-12,55.0,55.0,54.37,54.63,8398.353909465,0.0,1.0,0.52810413994725,0.52810413994725,0.52205494707149,0.52455143936942,510200.0
1962-02-13,54.87,55.75,54.87,55.0,10798.353909465,0.0,1.0,0.52685589379828,0.53530556003744,0.52685589379828,0.52810413994725,656000.0
1962-02-14,55.0,55.63,54.87,55.37,8892.1810699588,0.0,1.0,0.52810413994725,0.53415333282301,0.52685589379828,0.53165684052508,540200.0
1962-02-15,55.5,56.25,55.5,55.75,15094.650205761,0.0,1.0,0.53290508667404,0.54010650676423,0.53290508667404,0.53530556003744,916999.99999998
1962-02-16,55.75,56.0,55.13,55.13,8398.353909465,0.0,1.0,0.53530556003744,0.53770603340083,0.52935238609621,0.52935238609621,510200.0
1962-02-19,55.13,55.63,54.63,54.87,10195.884773663,0.0,1.0,0.52935238609621,0.53415333282301,0.52455143936942,0.52685589379828,619400.00000003
1962-02-20,54.87,55.63,54.63,54.63,7894.6502057613,0.0,1.0,0.52685589379828,0.53415333282301,0.52455143936942,0.52455143936942,479600.0
1962-02-21,54.63,54.87,53.63,54.0,6597.5308641975,0.0,1.0,0.52455143936942,0.52685589379828,0.51494954591584,0.51850224649366,400800.0
1962-02-23,53.37,53.37,51.25,52.25,19094.650205761,0.0,1.0,0.5124530536179,0.5124530536179,0.4920970394963,0.50169893294989,1160000.0
1962-02-26,52.25,53.13,51.62,52.5,11200.0,0.0,1.0,0.50169893294989,0.51014859918904,0.49564974007413,0.50409940631328,680400.0
1962-02-27,52.5,54.0,52.12,53.13,10995.884773663,0.0,1.0,0.50409940631328,0.51850224649366,0.50045068680092,0.51014859918904,668000.00000003
1962-02-28,53.13,53.63,53.13,53.63,4997.5308641975,0.0,1.0,0.51014859918904,0.51494954591584,0.51014859918904,0.51494954591584,303600.0
